transaction_amount,account_age_days,previous_transactions,failed_transactions,transaction_hour,is_international,device_change,is_fraud
15895,718,74,6,9,1,1,1
960,339,30,7,17,0,0,0
76920,659,32,8,11,1,1,1
54986,962,77,1,21,1,1,1
6365,429,79,0,15,1,1,1
82486,899,10,3,22,1,0,1
37294,139,32,4,5,1,0,0
87598,542,6,9,23,1,0,1
44231,2105,30,0,23,1,0,0
60363,1256,47,4,20,0,1,0
16123,2483,46,5,23,1,1,1
41190,384,77,2,9,1,1,1
67321,194,91,6,14,1,0,1
64920,2233,52,5,8,1,1,1
869,1896,79,3,23,0,1,0
59835,2340,18,2,1,0,1,0
63055,732,80,4,17,1,0,0
65025,2164,89,2,11,1,0,0
68069,685,5,9,2,0,1,1
5411,82,48,8,6,0,0,0
83204,2381,72,8,8,0,0,1
53807,2383,49,5,7,1,1,1
85405,532,80,5,5,0,1,1
28793,1984,94,3,0,0,0,0
72032,221,11,3,13,1,0,1
93116,635,22,1,15,1,1,1
25758,1770,53,9,15,1,1,1
84578,2371,68,3,3,0,1,1
18531,1875,99,7,5,0,1,1
2847,3,58,9,14,0,1,1
59250,1718,35,1,21,0,1,0
65825,206,2,8,7,1,1,1
84754,1856,57,0,0,0,0,0
35873,40,87,1,12,1,0,0
67535,2107,54,1,17,0,1,0
56986,644,56,5,17,0,0,0
66903,1531,16,6,12,0,0,0
31651,1908,38,2,21,1,1,1
11494,2144,89,8,13,0,1,1
69192,898,67,4,10,1,1,1
3990,1086,54,4,6,1,0,0
41706,1280,44,3,17,1,1,1
96376,2396,75,8,20,1,1,1
80138,671,0,7,21,0,0,1
87413,1506,20,3,3,0,1,1
10727,2365,82,3,16,1,0,0
8892,719,20,1,18,1,0,0
74069,1072,51,8,13,0,1,1
43101,1956,81,2,9,0,1,0
76652,1160,42,3,5,1,1,1
23997,250,51,6,17,0,0,0
68248,2362,66,9,3,0,1,1
23583,1893,43,7,10,0,0,0
48655,1854,31,7,12,1,1,1
17259,1504,9,3,7,1,1,1
80177,1235,63,6,9,1,1,1
36020,44,78,9,22,1,1,1
92167,583,68,0,10,1,0,1
67221,1289,67,5,2,0,1,1
69579,220,27,5,14,0,1,1
